,ID,Euclidean Distance Micrometres (um),Accumulated Distance Micrometres (um),Velocity Micrometres/Hour (um/hr),Directionality Arbitrary Units (AU),Y - Forward Motion Index Arbitrary Units (AU),End Point Angle Degrees (Deg)
0,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,24.507655054084633,24.63589637275131,12.253827527042317,0.9947945340925965,-0.9996876464081228,178.56790381583548
1,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,17.334940330154012,21.2000891041797,8.667470165077006,0.8176824278883028,0.52999894000318,57.9946167919165
2,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,9.876265741665723,19.776374674953164,4.938132870832861,0.4993971799176136,-0.9922778767136677,172.87498365109823
3,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,16.66180137320092,20.12419292321301,8.33090068660046,0.8279487995755466,0.8087360843031884,36.027373385103616
4,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,14.90276819923064,16.539676801277103,7.45138409961532,0.901031403351239,0.9863939238321437,9.462322208025613
5,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,7.45138409961532,12.68998766381888,3.72569204980766,0.587186079058246,0.9863939238321437,9.462322208025613
6,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,13.377201921552954,18.450624523923818,6.688600960776477,0.7250270528353953,0.9615239476408232,15.945395900922858
7,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,12.993087104302813,17.276094245498477,6.496543552151406,0.7520847547869993,-0.7071067811865475,135.0
8,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,9.819121969402357,23.018709245506404,4.909560984701178,0.42657135396587004,-0.06237828615518053,93.57633437499736
9,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,16.94091294027568,20.713139746599968,8.47045647013784,0.8178824237912318,0.6507913734559685,49.398705354995535
10,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,26.592659348963206,29.439616705921814,13.296329674481603,0.903295026378997,0.8752415354392695,28.92642583525362
11,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,19.23289012343179,25.499847938825702,9.616445061715895,0.7542354828770593,0.6050832675335579,52.76516601842533
12,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,20.950723436196665,28.403619219133542,10.475361718098332,0.7376075307362104,0.9647638212377321,15.255118703057791
13,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,11.653607274144774,15.676663988046629,5.826803637072387,0.7433729065718693,0.9986178293325098,3.012787504183286
14,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,27.860335268083194,31.865171414222665,13.930167634041597,0.8743193283325017,-0.8354170822439401,146.659292653523
15,C:\Users\Alphons\OneDrive\Documents\Fast-AI-Enabled-Cell-Tracking-and-Migration-Analysis-for-High-Throughput-Drug-Screening\tests\data\cell_wound_repair\Analysis,0.8662058069535208,14.763305991108103,0.4331029034767604,0.05867288854374719,-0.7071067811865475,135.0
